Feature,Importance,Importance_Percentage
cat__ORGANIZATION_TYPE_Security Ministries,0.0029973956,0.29973957
num__AMT_REQ_CREDIT_BUREAU_MON,0.002978075,0.2978075
num__FLAG_DOCUMENT_8,0.0029634824,0.29634827
cat__ORGANIZATION_TYPE_Transport: type 2,0.0029524413,0.29524416
num__AMT_DRAWINGS_CURRENT_SUM,0.0029487798,0.294878
cat__NAME_TYPE_SUITE_Family,0.0029278928,0.2927893
cat__FLAG_OWN_REALTY_N,0.0029169521,0.29169524
cat__NAME_EDUCATION_TYPE_Incomplete higher,0.0029094305,0.2909431
num__LIVE_CITY_NOT_WORK_CITY,0.002907516,0.2907516
cat__EMERGENCYSTATE_MODE_No,0.0029036985,0.29036987
num__LANDAREA_AVG,0.0028970744,0.28970748
cat__ORGANIZATION_TYPE_Transport: type 4,0.002871179,0.28711793
cat__ORGANIZATION_TYPE_Postal,0.0028355012,0.28355014
num__BASEMENTAREA_MODE,0.0028350283,0.28350285
cat__WEEKDAY_APPR_PROCESS_START_SATURDAY,0.002813829,0.28138295
num__INCOME_PER_PERSON,0.002795727,0.27957273
cat__OCCUPATION_TYPE_Cleaning staff,0.002766049,0.27660492
cat__ORGANIZATION_TYPE_Services,0.0027014688,0.2701469
num__FLAG_CONT_MOBILE,0.0026784805,0.26784807
cat__WEEKDAY_APPR_PROCESS_START_TUESDAY,0.002660842,0.26608422
cat__WEEKDAY_APPR_PROCESS_START_THURSDAY,0.002646504,0.26465043
cat__ORGANIZATION_TYPE_Government,0.002629461,0.26294613
cat__ORGANIZATION_TYPE_Industry: type 4,0.002619764,0.26197642
num__AVG_OVERDUE_DAYS,0.0025775114,0.25775117
cat__WALLSMATERIAL_MODE_Panel,0.002565096,0.2565096
cat__OCCUPATION_TYPE_Managers,0.0025549948,0.2554995
num__NONLIVINGAREA_AVG,0.002544976,0.25449762
cat__NAME_TYPE_SUITE_Other_B,0.002532386,0.25323862
cat__ORGANIZATION_TYPE_Bank,0.0024685727,0.24685729
cat__NAME_EDUCATION_TYPE_Academic degree,0.002466847,0.24668472
num__FLAG_DOCUMENT_5,0.0024459895,0.24459897
cat__WEEKDAY_APPR_PROCESS_START_WEDNESDAY,0.0024249833,0.24249835
num__FLOORSMAX_MODE,0.0024173423,0.24173425
cat__ORGANIZATION_TYPE_Industry: type 12,0.0024001203,0.24001205
"cat__NAME_TYPE_SUITE_Spouse, partner",0.0023949805,0.23949808
cat__ORGANIZATION_TYPE_Medicine,0.0023939596,0.23939598
cat__ORGANIZATION_TYPE_Business Entity Type 2,0.0023668911,0.23668914
num__LIVE_REGION_NOT_WORK_REGION,0.0023320732,0.23320735
cat__NAME_INCOME_TYPE_Commercial associate,0.0023223972,0.23223974
num__FLAG_DOCUMENT_15,0.0021998305,0.21998307
cat__OCCUPATION_TYPE_Private service staff,0.0021572912,0.21572915
cat__ORGANIZATION_TYPE_Kindergarten,0.0021446699,0.21446702
num__FLAG_EMAIL,0.0020836259,0.20836261
cat__WALLSMATERIAL_MODE_Wooden,0.0020619044,0.20619047
num__OVERDUE_LOAN_RATIO,0.0020463169,0.20463172
num__FLAG_DOCUMENT_6,0.0019461066,0.19461067
num__OVERDUE_LOAN_COUNT,0.001836331,0.1836331
cat__NAME_FAMILY_STATUS_Separated,0.0017076152,0.17076153
cat__ORGANIZATION_TYPE_Religion,0.0,0.0
num__FLAG_EMP_PHONE,0.0,0.0
cat__WALLSMATERIAL_MODE_Mixed,0.0,0.0
cat__WALLSMATERIAL_MODE_Monolithic,0.0,0.0
cat__ORGANIZATION_TYPE_XNA,0.0,0.0
num__FLAG_MOBIL,0.0,0.0
cat__ORGANIZATION_TYPE_Mobile,0.0,0.0
cat__ORGANIZATION_TYPE_Transport: type 1,0.0,0.0
cat__ORGANIZATION_TYPE_Trade: type 1,0.0,0.0
cat__ORGANIZATION_TYPE_Trade: type 5,0.0,0.0
cat__ORGANIZATION_TYPE_Trade: type 4,0.0,0.0
cat__ORGANIZATION_TYPE_Culture,0.0,0.0
cat__ORGANIZATION_TYPE_Insurance,0.0,0.0
cat__ORGANIZATION_TYPE_Industry: type 8,0.0,0.0
num__FLAG_DOCUMENT_14,0.0,0.0
num__FLAG_DOCUMENT_17,0.0,0.0
cat__OCCUPATION_TYPE_IT staff,0.0,0.0
num__FLAG_DOCUMENT_19,0.0,0.0
cat__OCCUPATION_TYPE_HR staff,0.0,0.0
num__FLAG_DOCUMENT_20,0.0,0.0
num__FLAG_DOCUMENT_21,0.0,0.0
num__EMPLOYED_ANOMALY,0.0,0.0
cat__NAME_FAMILY_STATUS_Unknown,0.0,0.0
cat__CODE_GENDER_XNA,0.0,0.0
cat__NAME_TYPE_SUITE_Group of people,0.0,0.0
cat__NAME_INCOME_TYPE_Unemployed,0.0,0.0
cat__NAME_INCOME_TYPE_Student,0.0,0.0
cat__NAME_TYPE_SUITE_Other_A,0.0,0.0
cat__NAME_INCOME_TYPE_Pensioner,0.0,0.0
cat__NAME_INCOME_TYPE_Maternity leave,0.0,0.0
cat__NAME_INCOME_TYPE_Businessman,0.0,0.0
cat__OCCUPATION_TYPE_Realty agents,0.0,0.0
num__FLAG_DOCUMENT_12,0.0,0.0
cat__OCCUPATION_TYPE_Secretaries,0.0,0.0
cat__ORGANIZATION_TYPE_Industry: type 10,0.0,0.0
cat__ORGANIZATION_TYPE_Industry: type 7,0.0,0.0
cat__ORGANIZATION_TYPE_Industry: type 6,0.0,0.0
cat__ORGANIZATION_TYPE_Industry: type 5,0.0,0.0
num__FLAG_DOCUMENT_2,0.0,0.0
cat__ORGANIZATION_TYPE_Industry: type 2,0.0,0.0
cat__ORGANIZATION_TYPE_Industry: type 13,0.0,0.0
num__FLAG_DOCUMENT_4,0.0,0.0
cat__ORGANIZATION_TYPE_Housing,0.0,0.0
num__FLAG_DOCUMENT_10,0.0,0.0
cat__ORGANIZATION_TYPE_Hotel,0.0,0.0
cat__ORGANIZATION_TYPE_Emergency,0.0,0.0
cat__ORGANIZATION_TYPE_Electricity,0.0,0.0
cat__ORGANIZATION_TYPE_Cleaning,0.0,0.0
num__FLAG_DOCUMENT_7,0.0,0.0
cat__ORGANIZATION_TYPE_Advertising,0.0,0.0
num__FLAG_DOCUMENT_9,0.0,0.0
cat__EMERGENCYSTATE_MODE_Yes,0.0,0.0
